date,store_id,product_id,units_sold,revenue
2026-08-01,S001,P001,20,600
2026-08-01,S001,P002,15,600
2026-08-01,S001,P003,5,1750
2026-08-01,S001,P004,8,1200
2026-08-01,S001,P005,25,500
2026-08-01,S002,P001,15,450
2026-08-01,S002,P002,12,480
2026-08-01,S002,P006,20,800
2026-08-01,S002,P007,5,600
2026-08-01,S003,P008,8,1440
2026-08-01,S003,P009,10,950
2026-08-01,S003,P010,2,2400
2026-08-15,S001,P001,25,750
2026-08-15,S001,P002,18,720
2026-08-15,S001,P003,6,2100
2026-08-15,S001,P005,30,600
2026-08-15,S002,P001,18,540
2026-08-15,S002,P006,25,1000
2026-08-15,S002,P007,7,840
2026-08-15,S003,P008,10,1800
2026-08-15,S003,P009,12,1140
2026-08-15,S003,P010,1,1200
2026-09-01,S001,P001,28,840
2026-09-01,S001,P002,20,800
2026-09-01,S001,P003,4,1400
2026-09-01,S001,P004,10,1500
2026-09-01,S001,P005,35,700
2026-09-01,S002,P001,20,600
2026-09-01,S002,P002,10,400
2026-09-01,S002,P006,30,1200
2026-09-01,S002,P007,4,480
2026-09-01,S003,P008,7,1260
2026-09-01,S003,P009,8,760
2026-09-01,S003,P010,3,3600
